latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
54.265641,-110.719243,12.0,1005.0,2.0,1.0,805.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.267671,-110.72651,12.0,1130.0,2.0,1.0,739.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.267694,-110.7248041,12.0,1155.0,2.0,1.0,733.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.265991,-110.749155,12.0,930.0,0.0,1.0,805.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.259881,-110.722482,12.0,1612.0,1.0,1.0,805.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.259881,-110.722482,12.0,1650.0,2.0,1.0,805.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.259881,-110.722482,12.0,1155.0,2.0,1.0,805.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.2599,-110.720814,12.0,1120.0,2.0,1.0,830.0,0,0,1,1,21.0,1,0,0,0,0,0,0
54.269904485148,-110.71296755505,12.0,1395.0,2.0,2.0,948.0,0,0,0,0,21.0,1,0,0,0,0,0,29
54.269904485148,-110.71296755505,12.0,1595.0,3.0,2.0,1267.0,0,0,0,0,21.0,1,0,0,0,0,0,29
51.9325356,-114.0285982,12.0,1000.0,1.0,1.0,805.0,0,0,0,0,1.0,0,1,0,0,0,0,0
50.5721888,-111.8970559,12.0,1780.0,2.0,1.0,779.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.583181,-111.893984,12.0,2090.0,2.0,1.0,902.0,0,0,1,1,21.0,0,0,0,0,0,1,0
50.5721986,-111.9106583,12.0,1775.0,2.0,1.0,771.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5681068,-111.9019,12.0,1550.0,1.0,1.0,520.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5681068,-111.9019,12.0,1425.0,1.0,1.0,520.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5631754,-111.8894753,12.0,1385.0,1.0,1.0,560.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5631754,-111.8894753,12.0,1625.0,2.0,1.0,770.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5631754,-111.8894753,12.0,1511.0,1.0,1.0,560.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.57104,-111.899639,12.0,1715.0,2.0,1.0,800.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.57104,-111.899639,12.0,1590.0,2.0,1.0,800.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.57104,-111.899639,12.0,1765.0,2.0,1.0,800.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.57104,-111.899639,12.0,1425.0,1.0,1.0,580.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5678457,-111.8771813,12.0,1490.0,1.0,1.0,510.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5678457,-111.8771813,12.0,1365.0,1.0,1.0,510.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5678457,-111.8771813,12.0,1620.0,2.0,1.0,800.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5721322,-111.9133726,12.0,1650.0,2.0,1.0,791.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5721322,-111.9133726,12.0,1635.0,1.0,1.0,625.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5652126,-111.8778149,12.0,1375.0,1.0,1.0,550.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5652126,-111.8778149,12.0,1500.0,1.0,1.0,550.0,0,0,1,1,21.0,1,0,0,0,0,0,0
50.5698469,-111.8902776,6.0,1600.0,2.0,1.0,805.0,0,0,0,0,21.0,0,0,0,1,0,0,0
50.57198,-111.8908,12.0,1975.0,2.0,1.0,932.0,0,0,0,0,21.0,1,0,0,0,0,0,29
53.8068125,-112.9229251,6.0,1450.0,2.0,2.0,800.0,0,0,1,1,2.0,1,0,0,0,0,0,0
53.8044785,-112.9168423,6.0,2200.0,3.0,2.5,805.0,0,0,0,0,2.0,0,0,0,1,0,0,30
51.04338,-114.08903,12.0,1725.0,1.0,1.0,483.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04338,-114.08903,12.0,1875.0,1.0,1.0,527.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04338,-114.08903,12.0,2400.0,2.0,2.0,854.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,2800.0,2.0,2.0,815.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,2925.0,2.0,2.0,873.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,3250.0,2.0,2.0,969.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,2050.0,1.0,1.0,591.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,2850.0,2.0,2.0,887.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,2850.0,2.0,2.0,873.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.0349477,-114.0811233,12.0,3800.0,3.0,2.0,1151.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,11200.0,2.0,2.0,2416.0,1,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,6400.0,1.0,1.0,1028.0,1,0,1,1,4711.0,1,0,0,0,0,0,44
51.04366769609,-114.07208817361,12.0,5000.0,1.0,1.0,1039.0,1,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,3074.0,2.0,2.0,900.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,1805.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2805.0,2.0,2.0,800.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2303.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,44
51.04366769609,-114.07208817361,12.0,2779.0,2.0,2.0,800.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2234.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,44
51.04366769609,-114.07208817361,12.0,1871.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2320.0,2.0,2.0,800.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2316.0,2.0,2.0,800.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2784.0,2.0,2.0,800.0,0,0,1,1,4711.0,1,0,0,0,0,0,44
51.04366769609,-114.07208817361,12.0,3000.0,2.0,2.0,900.0,0,0,1,1,4711.0,1,0,0,0,0,0,44
51.04366769609,-114.07208817361,12.0,2250.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,1875.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,0
51.04366769609,-114.07208817361,12.0,2221.0,1.0,1.0,600.0,0,0,1,1,4711.0,1,0,0,0,0,0,44
